apt,sector,techniques
Anchor Panda <CrowdStrike>:APT 14 <Mandiant>:Aluminium <Microsoft>:QAZTeam,"Aerospace, Defense, Engineering, Government, Industrial,  NGO","Gh0st RAT, Poison Ivy, Torn RAT"
Allanite <Dragos>:Palmetto Fusion <DHS>,Energy,"Inveigh, Powershell scripts, PSExec, SecreetsDump, THC Hydra"
APT 3 <Mandiant>:Gothic Panda <CrowdStrike>:Buckeye <Symantec>:TG-0110 <SecureWorks>:UPS Team <Symantec>:Group 6 <Talos>,"Aerospace, Construction, Defense, High-Tech, Manufacturing,
Technology, Telecommunications, Transportation","APT3 Keylogger, Bemstour, CookieCutter, DoublePulsar, EternalBlue, HTran,
Hupigon, Kaba, LaZagne, OSInfo, Pirpi, PlugX, shareip, SHOTPUT, TTCalc,
w32times, IE 0Day, Firefox 0Day, Flash 0Day"
APT 5 <FireEye>,"Defense, High-Tech, Industrial, Technology, Telecommunications",LEOUNCIA
APT 6 <FireEye>:1.php Group <Zscaler>,Government,Poison Ivy
APT 12 <Mandiant>:Numbered Panda <CrowdStrike>:TG-2754 <SecureWorks>:BeeBus <FireEye>:Calc Team <Symantec>:Group 22 <Talos>:Crimson Iron <ThreatConnect>,"Defense, Electronics, Government, High-Tech, Telecommunications, Journalists","AUMLIB, DynCalc/DNSCalc, ETUMBOT, HIGHTIDE, IXESHE, RapidStealer,
RIPTIDE, THREEBYTE, WaterSpout"
APT 16 <Mandiant>:SVCMONDR <Kaspersky,"Financial, Government, High-Tech, Media","ELMER, IRONHALO, SVCMONDR"
APT 17 <Mandiant>:Tailgater Team <Symantec>:Dogfish <iDefense>:Deputy Dog <iDefense>,"Defense, Government, IT, Mining, NGOs,  lawyers","9002 RAT, BLACKCOFFEE, DeputyDog, HiKit, PlugX, IE 0day"
APT 18 <Mandiant>:Dynamite Panda <CrowdStrike>:TG-0416 <SecureWorks>:Wekby <Palo Alto>:Scandium <Microsoft>,"Aerospace, Biotechnology, Construction, Defense, Education,
Engineering, Healthcare, High-Tech, Telecommunications, Transportation","Gh0st RAT, hcdLoader, HTTPBrowser, Pisloader, Roseam, StickyFingers, Flash 0day."
APT 19 <Mandiant>:Codoso <CrowdStrike>:Sunshop Group <FireEye>,"Defense, Education, Energy, Financial, Government, High-Tech,
Manufacturing, Pharmaceutical, Telecommunications, Think Tanks, political
dissidents, Forbes","C0d0so, Cobalt Strike, Empire, Derusbi, Flash 0day"
APT 20 <FireEye>:APT 8 <Mandiant>:Violin Panda <Crowdstrike>:TH3Bug <Palo Alto>,"Chemical, Construction, Defense, Energy, Engineering, Financial,
Government, Healthcare, High-Tech, Pharmaceutical, Telecommunications,Transportation","CAKELOG, CANDYCLOG, CETTRA, COOKIECLOG, PlugX, Poison Ivy"
APT 29 <Mandiant>:Cozy Bear <CrowdStrike>:The Dukes <F-Secure>:Group 100 <Talos>:Yttrium <Microsoft>:Iron Hemlock <SecureWorks>:Minidionis <Palo Alto>:CloudLook <Kaspersky>:Grizzly Steppe <US Government> :Sofacy:APT 28:Fancy Bear: Sednit,"Defense, Energy, Government, Imagery, Law Enforcement, Media, NGOs,
Pharmaceutical, Telecommunications, Think Tanks, Transportation","ATI-Agent, CloudDuke, Cobalt Strike, CosmicDuke, CozyDuke, CozyCar,
GeminiDuke, HammerDuke, HAMMERTOSS, meek, Mimikatz, MiniDuke,
OnionDuke, PinchDuke, POSHSPY, PowerDuke, SeaDaddy, SeaDuke, tDiscoverer"
APT 30 <Mandiant>:Override Panda <CrowdStrike>,"Defense, Government, ASEAN","BACKBEND, BACKSPACE, CREAMSICLE, FLASHFLOOD, GEMCUTTER,
MILKMAID, NETEAGLE, ORANGEADE, SHIPSHAPE, SPACESHIP"
APT 32 <Mandiant>:OceanLotus <SkyEye Labs>:SeaLotus:APT-C-00 <360>:Ocean Buffalo <CrowdStrike>,"Government, Hospitality, Manufacturing, Retail, dissidents, journalists, ASEAN","CACTUSTORCH, Cobalt Strike, Cuegoe, Denis, fingerprintjs2, Goopy, KerrDown,
KOMPROGO, Mimikatz, Nishang, OSX_OCEANLOTUS.D, PHOREAL,PowerSploit, Salgorea, SOUNDBITE, Terracotta VPN, WINDSHIELD, MS Office 0day"
APT 33 <Mandiant>:Elfin <Symantec>:Magnallium <Dragos>,"Aviation, Defense, Energy, Petrochemical","AutoIt backdoor, DarkComet, DROPSHOT, Empire, LaZagne, Mimikatz, NanoCore
RAT, NETWIRE RC, PoshC2, PowerSploit, POWERTON, PupyRAT, QuasarRAT,
Remcos, Ruler, Shamoon, SHAPESHIFT, TURNEDUP"
Axiom <Novetta>:Group 72 <Talos>,"High profile organizations with high value intellectual property in
Aerospace, Defense, Industrial, Manufacturing, Media","Cobalt Strike, DeputyDog, Derusbi, Gh0st RAT, Hikit, HydraQ, PlugX, Poison Ivy,
ShadowPad Winnti, ZXShell"
Bahamut <Bellingcat>,"Political, economic, social","Bahamut, DownPaper"
Barium <Microsoft>,"Multimedia, Online video game companies, Technology","Barlaiy, Cobalt Strike, PlugXL, Winnti"
Berserk Bear <CrowdStrike>:Dragonfly 2.0 <Symantec>:Dymalloy <Dragos>,Energy,"Bitsadmin, Goodor, Impacket, Karagany, Phisherly"
Blackgear <Trend Micro>:Topgear,"Japan, South Korea, Taiwan populus","Comnie, Elirks, Protux"
BlackOasis <Kaspersky>,"Media, Think Tanks, activists, UN","FinFisher, FinSpy, WingBird, Flash 0day"
BlackTech <Trend Micro>,"Financial, Government, Healthcare, Technology","BIFROST, DRIGO, KIVARS, PLEAD, XBOW"
Blind Eagle <360>:APT-C-36 <360>,"Financial, Government, large companies ",Imminent Monitor RAT
Blue Termite <Kaspersky>:Cloudy Omega <Symantec>,"Automotive, Chemical, Construction, Education, Energy, Financial, Food
and Agriculture, Government, Healthcare, High-Tech, Industry, IT, Media, Real
estate, Telecommunications, Transportation","Emdivi,  Hacking Team breach tools"
Bookworm <Palo Alto>,Government.,"Bookworm, FFRAT, Poison Ivy, PlugX, Scieron"
